Country,Year,Threatened Species: Invertebrates (number),Threatened Species: Plants (number),Threatened Species: Total (number),Threatened Species: Vertebrates (number)
South Georgia & Sandwich Is.,2020,0.0,0.0,9.0,9.0
South Sudan,2016,0.0,15.0,45.0,30.0
South Sudan,2017,0.0,15.0,49.0,34.0
South Sudan,2018,1.0,16.0,53.0,36.0
South Sudan,2019,1.0,17.0,57.0,39.0
South Sudan,2020,1.0,18.0,61.0,42.0
Spain,2004,63.0,14.0,153.0,76.0
Spain,2010,67.0,55.0,240.0,118.0
Spain,2016,236.0,221.0,592.0,135.0
Spain,2017,258.0,221.0,617.0,138.0
Spain,2018,288.0,251.0,681.0,142.0
Spain,2019,288.0,306.0,736.0,142.0
Spain,2020,290.0,319.0,752.0,143.0
Sri Lanka,2004,2.0,280.0,394.0,112.0
Sri Lanka,2010,120.0,283.0,552.0,149.0
Sri Lanka,2016,130.0,291.0,588.0,167.0
Sri Lanka,2017,130.0,290.0,587.0,167.0
Sri Lanka,2018,130.0,294.0,596.0,172.0
Sri Lanka,2019,129.0,298.0,602.0,175.0
Sri Lanka,2020,130.0,298.0,641.0,213.0
State of Palestine,2004,0.0,0.0,4.0,4.0
State of Palestine,2010,2.0,0.0,18.0,16.0
State of Palestine,2016,4.0,3.0,30.0,23.0
State of Palestine,2017,4.0,3.0,31.0,24.0
State of Palestine,2018,4.0,6.0,36.0,26.0
State of Palestine,2019,4.0,10.0,39.0,25.0
State of Palestine,2020,4.0,10.0,39.0,25.0
Sudan,2004,2.0,17.0,55.0,36.0
Sudan,2010,45.0,18.0,112.0,49.0
Sudan,2016,50.0,16.0,129.0,63.0
Sudan,2017,50.0,16.0,133.0,67.0
Sudan,2018,50.0,17.0,140.0,73.0
Sudan,2019,50.0,19.0,151.0,82.0
Sudan,2020,50.0,19.0,158.0,89.0
Suriname,2004,0.0,27.0,59.0,32.0
Suriname,2010,1.0,26.0,65.0,38.0
Suriname,2016,1.0,27.0,83.0,55.0
Suriname,2017,1.0,27.0,83.0,55.0
Suriname,2018,1.0,27.0,85.0,57.0
Suriname,2019,1.0,28.0,86.0,57.0
Suriname,2020,1.0,29.0,88.0,58.0
Svalbard and Jan Mayen Is.,2004,0.0,0.0,9.0,9.0
Svalbard and Jan Mayen Is.,2010,0.0,0.0,3.0,3.0
Svalbard and Jan Mayen Is.,2016,0.0,0.0,7.0,7.0
Svalbard and Jan Mayen Is.,2017,0.0,0.0,7.0,7.0
Svalbard and Jan Mayen Is.,2018,0.0,0.0,9.0,9.0
Svalbard and Jan Mayen Is.,2019,0.0,1.0,11.0,10.0
Svalbard and Jan Mayen Is.,2020,0.0,1.0,11.0,10.0
Sweden,2004,13.0,3.0,36.0,20.0
Sweden,2010,11.0,3.0,29.0,15.0
Sweden,2016,15.0,14.0,53.0,24.0
Sweden,2017,15.0,14.0,54.0,25.0
Sweden,2018,16.0,15.0,58.0,27.0
Sweden,2019,16.0,41.0,85.0,28.0
Sweden,2020,16.0,53.0,98.0,29.0
Switzerland,2004,30.0,2.0,49.0,17.0
Switzerland,2010,28.0,3.0,45.0,14.0
Switzerland,2016,43.0,10.0,71.0,18.0
Switzerland,2017,44.0,10.0,74.0,20.0
Switzerland,2018,47.0,10.0,79.0,22.0
Switzerland,2019,47.0,43.0,112.0,22.0
Switzerland,2020,47.0,59.0,128.0,22.0
Syrian Arab Republic,2004,3.0,0.0,29.0,26.0
Syrian Arab Republic,2010,7.0,3.0,78.0,68.0
Syrian Arab Republic,2016,20.0,13.0,127.0,94.0
Syrian Arab Republic,2017,20.0,18.0,132.0,94.0
Syrian Arab Republic,2018,22.0,26.0,139.0,91.0
Syrian Arab Republic,2019,22.0,31.0,144.0,91.0
Syrian Arab Republic,2020,23.0,32.0,147.0,92.0
Tajikistan,2004,2.0,2.0,24.0,20.0
Tajikistan,2010,2.0,14.0,40.0,24.0
Tajikistan,2016,3.0,12.0,44.0,29.0
Tajikistan,2017,3.0,12.0,45.0,30.0
Tajikistan,2018,3.0,12.0,47.0,32.0
Tajikistan,2019,3.0,13.0,48.0,32.0
Tajikistan,2020,3.0,13.0,48.0,32.0
Thailand,2004,1.0,84.0,221.0,136.0
Thailand,2010,185.0,91.0,477.0,201.0
Thailand,2016,211.0,150.0,606.0,245.0
Thailand,2017,211.0,152.0,611.0,248.0
Thailand,2018,211.0,155.0,621.0,255.0
Thailand,2019,212.0,168.0,655.0,275.0
Thailand,2020,213.0,182.0,674.0,279.0
Timor-Leste,2004,0.0,0.0,11.0,11.0
Timor-Leste,2010,0.0,0.0,18.0,18.0
Timor-Leste,2016,1.0,1.0,22.0,20.0
Timor-Leste,2017,1.0,1.0,24.0,22.0
Timor-Leste,2018,1.0,1.0,26.0,24.0
Timor-Leste,2019,1.0,3.0,35.0,31.0
Timor-Leste,2020,1.0,5.0,41.0,35.0
Togo,2004,0.0,10.0,32.0,22.0
Togo,2010,1.0,10.0,54.0,43.0
Togo,2016,3.0,12.0,78.0,63.0
Togo,2017,3.0,12.0,80.0,65.0
Togo,2018,3.0,12.0,85.0,70.0
Togo,2019,3.0,13.0,90.0,74.0
Togo,2020,3.0,13.0,94.0,78.0
Tokelau,2004,0.0,0.0,6.0,6.0
Tokelau,2010,31.0,0.0,41.0,10.0
Tokelau,2016,35.0,0.0,49.0,14.0
Tokelau,2017,35.0,0.0,49.0,14.0
Tokelau,2018,35.0,0.0,49.0,14.0
Tokelau,2019,35.0,0.0,51.0,16.0
Tokelau,2020,35.0,0.0,54.0,19.0
Tonga,2004,2.0,3.0,16.0,11.0
Tonga,2010,35.0,4.0,58.0,19.0
Tonga,2016,47.0,4.0,77.0,26.0
Tonga,2017,47.0,4.0,79.0,28.0
Tonga,2018,47.0,5.0,80.0,28.0
Tonga,2019,47.0,5.0,80.0,28.0
Tonga,2020,51.0,7.0,90.0,32.0
Trinidad and Tobago,2004,0.0,1.0,33.0,32.0
Trinidad and Tobago,2010,10.0,1.0,48.0,37.0
Trinidad and Tobago,2016,10.0,2.0,68.0,56.0
Trinidad and Tobago,2017,10.0,2.0,69.0,57.0
Trinidad and Tobago,2018,10.0,50.0,118.0,58.0
Trinidad and Tobago,2019,10.0,51.0,121.0,60.0
Trinidad and Tobago,2020,10.0,50.0,126.0,66.0
Tristan da Cunha,2019,69.0,45.0,156.0,42.0
Tunisia,2004,5.0,0.0,36.0,31.0
Tunisia,2010,11.0,7.0,75.0,57.0
Tunisia,2016,17.0,7.0,94.0,70.0
Tunisia,2017,19.0,7.0,96.0,70.0
Tunisia,2018,20.0,10.0,101.0,71.0
Tunisia,2019,20.0,10.0,101.0,71.0
Tunisia,2020,21.0,12.0,107.0,74.0
Turkey,2004,13.0,3.0,92.0,76.0
Turkey,2010,15.0,5.0,150.0,130.0
Turkey,2016,78.0,105.0,382.0,199.0
Turkey,2017,82.0,107.0,388.0,199.0
Turkey,2018,85.0,114.0,400.0,201.0
Turkey,2019,86.0,132.0,426.0,208.0
Turkey,2020,88.0,138.0,435.0,209.0
Turkmenistan,2004,5.0,0.0,40.0,35.0
Turkmenistan,2010,5.0,3.0,45.0,37.0
Turkmenistan,2016,7.0,4.0,53.0,42.0
Turkmenistan,2017,7.0,4.0,54.0,43.0
Turkmenistan,2018,7.0,4.0,57.0,46.0
Turkmenistan,2019,7.0,4.0,59.0,48.0
Turkmenistan,2020,7.0,4.0,59.0,48.0
Turks and Caicos Islands,2004,0.0,2.0,20.0,18.0
Turks and Caicos Islands,2010,10.0,2.0,34.0,22.0
Turks and Caicos Islands,2016,10.0,9.0,56.0,37.0
Turks and Caicos Islands,2017,10.0,9.0,60.0,41.0
Turks and Caicos Islands,2018,10.0,9.0,61.0,42.0
Turks and Caicos Islands,2019,10.0,9.0,63.0,44.0
Turks and Caicos Islands,2020,10.0,8.0,65.0,47.0
Tuvalu,2004,1.0,0.0,8.0,7.0
Tuvalu,2010,71.0,0.0,85.0,14.0
Tuvalu,2016,78.0,0.0,95.0,17.0
Tuvalu,2017,78.0,0.0,96.0,18.0
Tuvalu,2018,78.0,0.0,96.0,18.0
Tuvalu,2019,78.0,0.0,98.0,20.0
Tuvalu,2020,78.0,0.0,99.0,21.0
U.S. Minor Outlying islands,2004,0.0,0.0,15.0,15.0
U.S. Minor Outlying islands,2010,44.0,0.0,67.0,23.0
U.S. Minor Outlying islands,2016,47.0,0.0,72.0,25.0
U.S. Minor Outlying islands,2017,47.0,0.0,73.0,26.0
U.S. Minor Outlying islands,2018,47.0,0.0,73.0,26.0
U.S. Minor Outlying islands,2019,47.0,0.0,71.0,24.0
U.S. Minor Outlying islands,2020,47.0,0.0,73.0,26.0
Uganda,2004,19.0,38.0,134.0,77.0
Uganda,2010,15.0,41.0,166.0,110.0
Uganda,2016,19.0,52.0,187.0,116.0
Uganda,2017,24.0,53.0,196.0,119.0
Uganda,2018,30.0,64.0,218.0,124.0
Uganda,2019,30.0,83.0,239.0,126.0
Uganda,2020,31.0,107.0,266.0,128.0
Ukraine,2004,14.0,1.0,55.0,40.0
Ukraine,2010,15.0,1.0,61.0,45.0
Ukraine,2016,23.0,19.0,94.0,52.0
Ukraine,2017,31.0,18.0,102.0,53.0
Ukraine,2018,38.0,23.0,114.0,53.0
Ukraine,2019,38.0,36.0,127.0,53.0
Ukraine,2020,38.0,41.0,132.0,53.0
United Arab Emirates,2004,0.0,0.0,23.0,23.0
United Arab Emirates,2010,16.0,0.0,48.0,32.0
United Arab Emirates,2016,15.0,0.0,56.0,41.0
United Arab Emirates,2017,15.0,0.0,56.0,41.0
United Arab Emirates,2018,15.0,0.0,60.0,45.0
United Arab Emirates,2019,15.0,0.0,64.0,49.0
United Arab Emirates,2020,15.0,0.0,69.0,54.0
United Kingdom,2004,10.0,13.0,55.0,32.0
United Kingdom,2010,11.0,14.0,73.0,48.0
United Kingdom,2016,18.0,22.0,101.0,61.0
United Kingdom,2017,18.0,22.0,102.0,62.0
United Kingdom,2018,19.0,48.0,131.0,64.0
United Kingdom,2019,20.0,78.0,164.0,66.0
United Kingdom,2020,20.0,89.0,176.0,67.0
United Rep. of Tanzania,2004,33.0,239.0,416.0,144.0
United Rep. of Tanzania,2010,80.0,298.0,691.0,313.0
United Rep. of Tanzania,2016,129.0,602.0,1086.0,355.0
United Rep. of Tanzania,2017,125.0,602.0,1082.0,355.0
United Rep. of Tanzania,2018,129.0,632.0,1121.0,360.0
United Rep. of Tanzania,2019,147.0,661.0,1174.0,366.0
United Rep. of Tanzania,2020,147.0,726.0,1259.0,386.0
United States Virgin Islands,2004,0.0,9.0,31.0,22.0
United States Virgin Islands,2010,0.0,12.0,33.0,21.0
United States Virgin Islands,2016,0.0,12.0,54.0,42.0
United States Virgin Islands,2017,0.0,12.0,58.0,46.0
United States Virgin Islands,2018,0.0,17.0,63.0,46.0
United States Virgin Islands,2019,0.0,17.0,67.0,50.0
United States Virgin Islands,2020,0.0,20.0,74.0,54.0
United States of America,2004,561.0,240.0,1143.0,342.0
United States of America,2010,531.0,245.0,1152.0,376.0
United States of America,2016,578.0,447.0,1479.0,454.0
United States of America,2017,580.0,477.0,1513.0,456.0
United States of America,2018,580.0,498.0,1540.0,462.0
United States of America,2019,581.0,556.0,1616.0,479.0
United States of America,2020,586.0,587.0,1655.0,482.0
Uruguay,2004,1.0,1.0,50.0,48.0
Uruguay,2010,1.0,1.0,80.0,78.0
Uruguay,2016,2.0,22.0,106.0,82.0
Uruguay,2017,2.0,22.0,106.0,82.0
Uruguay,2018,2.0,22.0,109.0,85.0
Uruguay,2019,2.0,22.0,110.0,86.0
Uruguay,2020,2.0,22.0,116.0,92.0
Uzbekistan,2004,1.0,1.0,31.0,29.0
Uzbekistan,2010,1.0,15.0,50.0,34.0
Uzbekistan,2016,3.0,17.0,59.0,39.0
Uzbekistan,2017,3.0,17.0,59.0,39.0
Uzbekistan,2018,3.0,16.0,62.0,43.0
Uzbekistan,2019,3.0,16.0,62.0,43.0
Uzbekistan,2020,3.0,16.0,62.0,43.0
Vanuatu,2004,0.0,10.0,29.0,19.0
Vanuatu,2010,79.0,10.0,121.0,32.0
Vanuatu,2016,92.0,10.0,139.0,37.0
Vanuatu,2017,91.0,10.0,137.0,36.0
Vanuatu,2018,91.0,10.0,139.0,38.0
Vanuatu,2019,91.0,10.0,140.0,39.0
Vanuatu,2020,91.0,11.0,144.0,42.0
Venezuela (Boliv. Rep. of),2004,1.0,67.0,219.0,151.0
Venezuela (Boliv. Rep. of),2010,21.0,70.0,270.0,179.0
Venezuela (Boliv. Rep. of),2016,26.0,82.0,320.0,212.0
Venezuela (Boliv. Rep. of),2017,26.0,82.0,328.0,220.0
Venezuela (Boliv. Rep. of),2018,26.0,81.0,335.0,228.0
Venezuela (Boliv. Rep. of),2019,26.0,90.0,347.0,231.0
Venezuela (Boliv. Rep. of),2020,26.0,102.0,379.0,251.0
Viet Nam,2004,0.0,145.0,289.0,144.0
Viet Nam,2010,92.0,146.0,424.0,186.0
Viet Nam,2016,152.0,204.0,616.0,260.0
Viet Nam,2017,152.0,204.0,616.0,260.0
Viet Nam,2018,152.0,231.0,661.0,278.0
Viet Nam,2019,154.0,236.0,700.0,310.0
Viet Nam,2020,156.0,260.0,738.0,322.0
Wallis and Futuna Islands,2004,0.0,1.0,13.0,12.0
Wallis and Futuna Islands,2010,57.0,1.0,74.0,16.0
Wallis and Futuna Islands,2016,65.0,1.0,90.0,24.0
Wallis and Futuna Islands,2017,64.0,1.0,89.0,24.0
Wallis and Futuna Islands,2018,64.0,1.0,89.0,24.0
Wallis and Futuna Islands,2019,64.0,1.0,89.0,24.0
Wallis and Futuna Islands,2020,64.0,1.0,92.0,27.0
Western Sahara,2004,1.0,0.0,19.0,18.0
Western Sahara,2010,1.0,0.0,39.0,38.0
Western Sahara,2016,3.0,0.0,47.0,44.0
Western Sahara,2017,3.0,0.0,49.0,46.0
Western Sahara,2018,3.0,0.0,51.0,48.0
Western Sahara,2019,3.0,0.0,50.0,47.0
Western Sahara,2020,3.0,0.0,58.0,55.0
Yemen,2004,2.0,159.0,195.0,34.0
Yemen,2010,62.0,159.0,269.0,48.0
Yemen,2016,68.0,162.0,297.0,67.0
Yemen,2017,68.0,162.0,298.0,68.0
Yemen,2018,68.0,163.0,303.0,72.0
Yemen,2019,68.0,163.0,309.0,78.0
Yemen,2020,68.0,163.0,313.0,82.0
Zambia,2004,7.0,8.0,39.0,24.0
Zambia,2010,14.0,9.0,67.0,44.0
Zambia,2016,14.0,20.0,85.0,51.0
Zambia,2017,14.0,21.0,88.0,53.0
Zambia,2018,15.0,22.0,91.0,54.0
Zambia,2019,14.0,28.0,98.0,56.0
Zambia,2020,14.0,32.0,107.0,61.0
Zimbabwe,2004,2.0,17.0,43.0,24.0
Zimbabwe,2010,5.0,16.0,55.0,34.0
Zimbabwe,2016,5.0,17.0,61.0,39.0
Zimbabwe,2017,5.0,43.0,89.0,41.0
Zimbabwe,2018,7.0,46.0,95.0,42.0
Zimbabwe,2019,8.0,52.0,103.0,43.0
Zimbabwe,2020,8.0,71.0,122.0,43.0
Åland Islands,2020,0.0,1.0,1.0,0.0
